text,label
i ve come to the conclusion that i m always going to have to face racism and sexism constantly and that s an awful realisation it honestly make me want to die because why should i live in a world that s full of people who want to hurt me when i don t deserve it i have to work in order to live and unless i suddenly become wealthy and never have to take shit from racist manager then i m done my family life is awful i wa sa d by my sister boyfriend two summer ago and my family s response wa abysmal i went straight to my mum after it happened and called the sister that i love and trust dearly she told me that my mum said what doe she expect if she s staying in their house for free those word have never left me i hear them every time i look at my mum and i m still living with her i m too broke to find a place to live alone and no longer want to work because my racist manager bully me any chance she get everything is really overwhelming me i have 0 friend i used to be such a happy and bubbly person but now no one want to be around me i guess it show how conditional some of those friendship were right i reached out to a friend and told her that i wasn t doing well and neither is she unfortunately she cancelled on me twice and hasn t spoken to me since i feel like she doesn t like me anymore i truly wonder if anyone ever liked me i m naturally very extroverted but my anxiety and depression make me sheepish and untrusting of people i end up shutting down every friendship and i hate that about myself it s so fucking hard to stay afloat i no longer want to have kid with my bf because i don t want my kid to go through racism or me a a mother i realise that my depression and anxiety could be passed down to them but i could also ruin them with how unpredictable my emotion are i don t want them to go through what i went through emotionally honestly i do want to die i understand that there s part of my life i am grateful for but they could leave me at anytime i just want a reset button i don t like how my mind keep ruining everything for me i can t have nice thing,1
depression lori bata oje lo ye ara e wo http t co egkmkkazb,1
like fuck am i invisible,1
i do not want to wake up tomorrow,1
school work talent cultural knowledge relationship health physical appearance there s always someone better than me and no matter how hard i try the result are mediocre nothin outstanding i shouldn t have existed everything i ve done amount to nothing,1
too long to explain but im having an episode rn and it feel horrible day in so far it doesnt ever feel like itll go away i guess i just need some reassurance that this fewling wont stay till i die i just need to know that this feeling will go away soon and i can go back to being happy like i wa before,1
worked his heart out today doubling my weight at each station result stiff and pulled muscle ouch,0
typical feeling at bedtime this is a good a it get struggling to remember a time when i looked forward to waking up,1
riancurtis i m here friend and i love you,0
i m over it but accutely aware that only bob will ever know that,0
i can t decide i really want to but then again,1
i have a small business we got a meeting with our biggest client ever and i called them by their competitor name i m so scared i cost u the deal,1
aaaaand the nausea is back,0
